ID,Tipo,SKU,Nombre,Publicado,Visibilidad en el catálogo,Descripción corta,¿Existencias?,Inventario,Estado del impuesto,Precio normal,Categorías,Imágenes,Superior,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1,Meta: notas_de_salida,Meta: _notas_de_salida,Meta: notas_de_corazon,Meta: _notas_de_corazon,Meta: notas_de_fondo,Meta: _notas_de_fondo
,variation,AR-RED-CARPET-500,Aroma Red Carpet 500 ML,0,visible,,1,100,taxable,229.00,Aromas,,AR-RED-CARPET,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-RED-CARPET-1L,Aroma Red Carpet 1 L,0,visible,,1,100,taxable,439.00,Aromas,,AR-RED-CARPET,Capacidad,1 L,1,1,,,,,,,
,variable,AR-ROSA-PASIONAL,Aroma Rosa Pasional,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Rosa-pasional.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Rosa roja, mandarina",field_6a3739f9978a5,"Violeta, jazmín",field_6a373a0b978a6,"Patchouli, almizcle sensual",field_6a373a15978a7
,variation,AR-ROSA-PASIONAL-150,Aroma Rosa Pasional 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-ROSA-PASIONAL,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-ROSA-PASIONAL-250,Aroma Rosa Pasional 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-ROSA-PASIONAL,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-ROSA-PASIONAL-500,Aroma Rosa Pasional 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-ROSA-PASIONAL,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-ROSA-PASIONAL-1L,Aroma Rosa Pasional 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-ROSA-PASIONAL,Capacidad,1 L,1,1,,,,,,,
,variable,AR-ROSE,Aroma Rosé,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/rose.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,Pétalos de rosa roja,field_6a3739f9978a5,"Rosa búlgara, geranio",field_6a373a0b978a6,"Miel, almizcle suave",field_6a373a15978a7
,variation,AR-ROSE-150,Aroma Rosé 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-ROSE,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-ROSE-250,Aroma Rosé 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-ROSE,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-ROSE-500,Aroma Rosé 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-ROSE,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-ROSE-1L,Aroma Rosé 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-ROSE,Capacidad,1 L,1,1,,,,,,,
,variable,AR-RUTA-AROMATICA,Aroma Ruta Aromática,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/ruta-aromatica.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Limón verde, bergamota italiana",field_6a3739f9978a5,"Cedro, almizcle limpio",field_6a373a0b978a6,"Sándalo, ámbar amaderado",field_6a373a15978a7
,variation,AR-RUTA-AROMATICA-150,Aroma Ruta Aromática 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-RUTA-AROMATICA,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-RUTA-AROMATICA-250,Aroma Ruta Aromática 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-RUTA-AROMATICA,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-RUTA-AROMATICA-500,Aroma Ruta Aromática 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-RUTA-AROMATICA,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-RUTA-AROMATICA-1L,Aroma Ruta Aromática 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-RUTA-AROMATICA,Capacidad,1 L,1,1,,,,,,,
,variable,AR-SERENITY,Aroma Serenity,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/serenity.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Albaricoque, manzana, ciruela",field_6a3739f9978a5,"Jazmín, violeta",field_6a373a0b978a6,"Roble leñoso, menta liviana",field_6a373a15978a7
,variation,AR-SERENITY-150,Aroma Serenity 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-SERENITY,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-SERENITY-250,Aroma Serenity 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-SERENITY,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-SERENITY-500,Aroma Serenity 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-SERENITY,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-SERENITY-1L,Aroma Serenity 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-SERENITY,Capacidad,1 L,1,1,,,,,,,
